title,extract,url
Moonraker (film),"Moonraker is a 1979 spy-fi film, the eleventh in the James Bond series produced by Eon Productions, and the fourth to star Roger Moore as the fictional MI6 agent James Bond. The third and final film in the series to be directed by Lewis Gilbert, it co-stars Lois Chiles, Michael Lonsdale, Corinne Cléry, and Richard Kiel. In the film, Bond investigates the vanishing of a Space Shuttle orbiter, leading him to Hugo Drax, the owner of the shuttle's manufacturing firm. Along with astronaut Dr. Holly Goodhead, Bond follows the mystery from California to Venice, Rio de Janeiro, the Amazon rainforest, and finally into outer space to prevent a plot to wipe out the world population and repopulate humanity with a master race.",https://en.wikipedia.org/wiki/Moonraker_(film)
For Your Eyes Only (film),"For Your Eyes Only is a 1981 spy film, the twelfth film in the James Bond franchise produced by Eon Productions, and the fifth to star Roger Moore as the fictional MI6 agent James Bond. The film also co-stars Carole Bouquet, Chaim Topol, Lynn-Holly Johnson and Julian Glover, and marked the feature directorial debut of John Glen, who had served as a film editor and second unit director on previous films in the series.",https://en.wikipedia.org/wiki/For_Your_Eyes_Only_(film)
Octopussy,"Octopussy is a 1983 spy film and the thirteenth in the James Bond series produced by Eon Productions. It is the sixth to star Roger Moore as the MI6 agent James Bond and the second to be directed by John Glen. The screenplay was written by George MacDonald Fraser, Richard Maibaum and Michael G. Wilson.",https://en.wikipedia.org/wiki/Octopussy
A View to a Kill,"A View to a Kill is a 1985 spy film, the fourteenth in the James Bond series produced by Eon Productions, and the seventh and final appearance of Roger Moore as the fictional MI6 agent James Bond. Although the title is adapted from Ian Fleming's 1960 short story ""From a View to a Kill"", the film has an entirely original screenplay. In A View to a Kill, Bond is pitted against Max Zorin, who plans to destroy California's Silicon Valley.",https://en.wikipedia.org/wiki/A_View_to_a_Kill
The Living Daylights,"The Living Daylights is a 1987 spy film, the fifteenth entry in the James Bond series produced by Eon Productions, and the first of two to star Timothy Dalton as the fictional MI6 agent James Bond.",https://en.wikipedia.org/wiki/The_Living_Daylights
Licence to Kill,"Licence to Kill is a 1989 spy film, the sixteenth in the James Bond series produced by Eon Productions, and the second and final film to star Timothy Dalton as the MI6 agent James Bond. In the film, Bond resigns from MI6 in order to take revenge against the drug lord Franz Sanchez who ordered an attack against Bond's friend and CIA agent Felix Leiter and the murder of Felix's wife after their wedding.",https://en.wikipedia.org/wiki/Licence_to_Kill
GoldenEye,"GoldenEye is a 1995 action spy film, the seventeenth in the James Bond series produced by Eon Productions, and the first to star Pierce Brosnan as the fictional MI6 agent James Bond. Directed by Martin Campbell, it was the first in the series not to use any story elements from the works of novelist Ian Fleming. GoldenEye was also the first James Bond film not produced by Albert R. Broccoli, following his stepping down from Eon Productions and replacement by his daughter, Barbara Broccoli. The story was conceived and written by Michael France, with later collaboration by other writers. In the film, Bond fights to prevent rogue ex-MI6 agent Alec Trevelyan from using a satellite weapon against London to cause a global financial collapse.",https://en.wikipedia.org/wiki/GoldenEye
Tomorrow Never Dies,"Tomorrow Never Dies is a 1997 action spy film, the eighteenth in the James Bond series produced by Eon Productions and the second to star Pierce Brosnan as fictional MI6 agent James Bond. Directed by Roger Spottiswoode from a screenplay by Bruce Feirstein, it follows Bond as he attempts to prevent Elliot Carver, a power-mad media mogul, from engineering world events to initiate World War III.",https://en.wikipedia.org/wiki/Tomorrow_Never_Dies
The World Is Not Enough,"The World Is Not Enough is a 1999 action - thriller spy film, the nineteenth in the James Bond series produced by Eon Productions and the third to star Pierce Brosnan as the fictional MI6 agent James Bond. It was directed by Michael Apted, from an original story and screenplay by Neal Purvis, Robert Wade, and Bruce Feirstein. It was produced by Michael G. Wilson and Barbara Broccoli. The title is the translation of the motto on the Bond family coat of arms, first seen in On Her Majesty's Secret Service.",https://en.wikipedia.org/wiki/The_World_Is_Not_Enough
Die Another Day,"Die Another Day is a 2002 action spy film and the twentieth film in the James Bond series produced by Eon Productions. It was directed by Lee Tamahori, produced by Michael G. Wilson and Barbara Broccoli, and written by Neal Purvis and Robert Wade. The fourth and final film starring Pierce Brosnan as the fictional MI6 agent James Bond, it was also the only film to feature John Cleese as Q, and the last with Samantha Bond as Miss Moneypenny. It is also the first film since Live and Let Die (1973) not to feature Desmond Llewelyn as Q as he died three years earlier. Halle Berry co-stars as Bond girl and NSA agent Jinx. In the film, Bond attempts to locate a traitor in British intelligence who betrayed him and a British billionaire who is later revealed to be connected to a North Korean operative who Bond seemingly killed. It is an original story, although it takes influence from Bond creator Ian Fleming's novels Moonraker (1955) and The Man with the Golden Gun (1965), as well as Kingsley Amis's novel, Colonel Sun. The title song was performed by Madonna.",https://en.wikipedia.org/wiki/Die_Another_Day
Casino Royale (2006 film),"Casino Royale is a 2006 spy thriller film, the twenty-first in the Eon Productions James Bond series, the third screen adaptation of Ian Fleming's 1953 novel of the same name, and the first to star Daniel Craig as the fictional MI6 agent James Bond.",https://en.wikipedia.org/wiki/Casino_Royale_(2006_film)
Quantum of Solace,"Quantum of Solace is a 2008 action spy film and the twenty-second in the James Bond series produced by Eon Productions. Directed by Marc Forster and written by Neal Purvis, Robert Wade, and Paul Haggis, it is the sequel to Casino Royale (2006), and stars Daniel Craig in his second appearance as the fictional MI6 agent James Bond.",https://en.wikipedia.org/wiki/Quantum_of_Solace
Skyfall,"Skyfall is a 2012 spy film and the twenty-third in the James Bond series produced by Eon Productions. The film is the third to star Daniel Craig as fictional MI6 agent James Bond and features Javier Bardem as Raoul Silva, the villain, with Judi Dench returning as M. The film was directed by Sam Mendes and written by Neal Purvis, Robert Wade, and John Logan. In the film, Bond investigates a series of targeted data leaks and co-ordinated attacks on MI6 led by Silva. It sees the return of two recurring characters, Miss Moneypenny and Q, after an absence of two films. Ralph Fiennes, Bérénice Marlohe, and Albert Finney are among the supporting cast.",https://en.wikipedia.org/wiki/Skyfall
Spectre (2015 film),"Spectre is a 2015 spy thriller film and the twenty-fourth in the James Bond series produced by Eon Productions. Directed by Sam Mendes and written by John Logan, Neal Purvis, Robert Wade, and Jez Butterworth from a story conceived by Logan, Purvis, and Wade, it is the fourth film to star Daniel Craig as the fictional MI6 agent James Bond.",https://en.wikipedia.org/wiki/Spectre_(2015_film)
No Time to Die,"No Time to Die is a 2021 spy thriller film and the twenty-fifth in the James Bond series, and is the fifth and final to star Daniel Craig as fictional British MI6 agent James Bond. The plot follows Bond, who has left active service with MI6, and is recruited by the CIA to find a kidnapped scientist, which leads to a showdown with a powerful and vengeful adversary armed with a technology capable of killing millions. It was directed by Cary Joji Fukunaga from a screenplay he co-wrote with Neal Purvis, Robert Wade and Phoebe Waller-Bridge, based on a story conceived by Purvis, Wade and Fukunaga. In addition to Craig, Léa Seydoux, Ben Whishaw, Naomie Harris, Jeffrey Wright, Christoph Waltz, Ralph Fiennes, and Rory Kinnear also reprise their roles from previous films, with Rami Malek, Lashana Lynch, Billy Magnussen, Ana de Armas, David Dencik, and Dali Benssalah appearing in new roles.",https://en.wikipedia.org/wiki/No_Time_to_Die
